Region,Category,Month,Month_Num,Year,Sales_Target,Sales_Actual,Achievement_Pct
North,Electronics,Jan,1,2023,479513.19,416944.16,87
North,Electronics,Feb,2,2023,571830.99,495489.64,86.6
North,Electronics,Mar,3,2023,566601.65,481131.18,84.9
North,Electronics,Apr,4,2023,500765.34,544017.49,108.6
North,Electronics,May,5,2023,548309.22,636262.75,116
North,Electronics,Jun,6,2023,552271.25,574961.48,104.1
North,Electronics,Jul,7,2023,613946.43,636131.49,103.6
North,Electronics,Aug,8,2023,559476.96,473032.71,84.5
North,Electronics,Sep,9,2023,499031.94,506329.71,101.5
North,Electronics,Oct,10,2023,673555.91,518961.92,77
North,Electronics,Nov,11,2023,705294.54,611755.9,86.7
North,Electronics,Dec,12,2023,753451.11,638115.84,84.7
North,Clothing,Jan,1,2023,571573.27,554030.08,96.9
North,Clothing,Feb,2,2023,602755.51,737033.88,122.3
North,Clothing,Mar,3,2023,543665.95,440508.93,81
North,Clothing,Apr,4,2023,648994.77,765185.02,117.9
North,Clothing,May,5,2023,635259.17,783380.97,123.3
North,Clothing,Jun,6,2023,691851.15,863826.86,124.9
North,Clothing,Jul,7,2023,708455.87,677531.85,95.6
North,Clothing,Aug,8,2023,552240.18,567834.72,102.8
North,Clothing,Sep,9,2023,653430.12,667073.5,102.1
North,Clothing,Oct,10,2023,702078.42,645751.16,92
North,Clothing,Nov,11,2023,701416.9,600385.64,85.6
North,Clothing,Dec,12,2023,747404.1,851956.82,114
North,Furniture,Jan,1,2023,769793.18,798156.81,103.7
North,Furniture,Feb,2,2023,665029.71,584779.9,87.9
North,Furniture,Mar,3,2023,721236.26,609414.74,84.5
North,Furniture,Apr,4,2023,687055.33,736332.78,107.2
North,Furniture,May,5,2023,657417.77,661240.67,100.6
North,Furniture,Jun,6,2023,710019.62,751610.8,105.9
North,Furniture,Jul,7,2023,794474.48,990138.87,124.6
North,Furniture,Aug,8,2023,750167.82,923886.83,123.2
North,Furniture,Sep,9,2023,726991.28,567756.22,78.1
North,Furniture,Oct,10,2023,947991.01,897935.09,94.7
North,Furniture,Nov,11,2023,923680.29,1074503.06,116.3
North,Furniture,Dec,12,2023,944858.96,853187.97,90.3
North,Groceries,Jan,1,2023,304963.42,334765.01,109.8
North,Groceries,Feb,2,2023,295437.15,273923.36,92.7
North,Groceries,Mar,3,2023,315751.36,325056.56,102.9
North,Groceries,Apr,4,2023,305667.34,377105.67,123.4
North,Groceries,May,5,2023,297667.56,363114.17,122
North,Groceries,Jun,6,2023,368400.53,355981.2,96.6
North,Groceries,Jul,7,2023,370076.38,305319.14,82.5
North,Groceries,Aug,8,2023,322497.57,290344.93,90
North,Groceries,Sep,9,2023,325412.52,358762.73,110.2
North,Groceries,Oct,10,2023,414288.28,485200.52,117.1
North,Groceries,Nov,11,2023,391301.65,367274.49,93.9
North,Groceries,Dec,12,2023,395446.7,486936.16,123.1
North,Sports,Jan,1,2023,737230.19,707336.42,95.9
North,Sports,Feb,2,2023,738394.99,737321.38,99.9
North,Sports,Mar,3,2023,756074.17,659581.39,87.2
North,Sports,Apr,4,2023,744633.1,721134.09,96.8
North,Sports,May,5,2023,722845.81,879763.06,121.7
North,Sports,Jun,6,2023,773053.87,707818.46,91.6
North,Sports,Jul,7,2023,884754.2,762000.6,86.1
North,Sports,Aug,8,2023,806521.31,947277.61,117.5
North,Sports,Sep,9,2023,734772.82,726370.7,98.9
North,Sports,Oct,10,2023,1072759.54,1001178.32,93.3
North,Sports,Nov,11,2023,1000263.47,971207.08,97.1
North,Sports,Dec,12,2023,971378.4,1131828.72,116.5
North,Books,Jan,1,2023,330786.02,374867.55,113.3
North,Books,Feb,2,2023,338966.48,280428.84,82.7
North,Books,Mar,3,2023,320060.8,334522.76,104.5
North,Books,Apr,4,2023,287249.48,225573.26,78.5
North,Books,May,5,2023,303525.96,337335.94,111.1
North,Books,Jun,6,2023,376204.43,357269.03,95
North,Books,Jul,7,2023,334519.53,324796.36,97.1
North,Books,Aug,8,2023,331050.21,396030.39,119.6
North,Books,Sep,9,2023,340375.86,359847.65,105.7
North,Books,Oct,10,2023,374023.2,286023.88,76.5
North,Books,Nov,11,2023,401876.33,321075.95,79.9
North,Books,Dec,12,2023,392815.24,390680.62,99.5
North,Toys,Jan,1,2023,314474.55,361061.26,114.8
North,Toys,Feb,2,2023,350589.56,327477.65,93.4
North,Toys,Mar,3,2023,366571.2,277361.02,75.7
North,Toys,Apr,4,2023,360266.51,396524.34,110.1
North,Toys,May,5,2023,371006.85,429694.19,115.8
North,Toys,Jun,6,2023,405057.76,346358.36,85.5
North,Toys,Jul,7,2023,348827.67,278607.93,79.9
North,Toys,Aug,8,2023,322940.68,377730.37,117
North,Toys,Sep,9,2023,360309.27,392946.36,109.1
North,Toys,Oct,10,2023,455000.1,356372.58,78.3
North,Toys,Nov,11,2023,433557.47,421740.47,97.3
North,Toys,Dec,12,2023,479921.78,534475.02,111.4
South,Electronics,Jan,1,2023,761320.43,940507.82,123.5
South,Electronics,Feb,2,2023,640016.57,573335.83,89.6
South,Electronics,Mar,3,2023,717209.06,816684.98,113.9
South,Electronics,Apr,4,2023,733871.35,763246.73,104
South,Electronics,May,5,2023,711196.66,537404.22,75.6
South,Electronics,Jun,6,2023,784054.38,901065.83,114.9
South,Electronics,Jul,7,2023,790082.83,949796.91,120.2
South,Electronics,Aug,8,2023,748171.89,708649.38,94.7
South,Electronics,Sep,9,2023,707590.92,673073.32,95.1
South,Electronics,Oct,10,2023,854896.89,802460.99,93.9
South,Electronics,Nov,11,2023,1012314.06,961065.8,94.9
South,Electronics,Dec,12,2023,890588.57,833628.28,93.6
South,Clothing,Jan,1,2023,579329.18,619232.27,106.9
South,Clothing,Feb,2,2023,596932.07,521310.25,87.3
South,Clothing,Mar,3,2023,562741.83,632849.51,112.5
South,Clothing,Apr,4,2023,623303,674353.34,108.2
South,Clothing,May,5,2023,662462.36,732495.18,110.6
South,Clothing,Jun,6,2023,650865.71,548821.25,84.3
South,Clothing,Jul,7,2023,728814.36,697410.07,95.7
South,Clothing,Aug,8,2023,581528.2,555542.41,95.5
South,Clothing,Sep,9,2023,561073.04,583997.34,104.1
South,Clothing,Oct,10,2023,842582.66,837120.3,99.4
South,Clothing,Nov,11,2023,791226.18,975914.52,123.3
South,Clothing,Dec,12,2023,772651.98,925972.29,119.8
South,Furniture,Jan,1,2023,468615.35,503096.66,107.4
South,Furniture,Feb,2,2023,500275.16,462978.34,92.5
South,Furniture,Mar,3,2023,505433.6,407191.17,80.6
South,Furniture,Apr,4,2023,459953.09,558502.94,121.4
South,Furniture,May,5,2023,534811.16,503715.13,94.2
South,Furniture,Jun,6,2023,596508.72,736154.38,123.4
South,Furniture,Jul,7,2023,604873.41,716366.58,118.4
South,Furniture,Aug,8,2023,457551.19,349930.26,76.5
South,Furniture,Sep,9,2023,453556.94,511155.62,112.7
South,Furniture,Oct,10,2023,713092.61,793036.67,111.2
South,Furniture,Nov,11,2023,704750.05,581444.43,82.5
South,Furniture,Dec,12,2023,684517.74,844191.46,123.3
South,Groceries,Jan,1,2023,201904.96,183843.77,91.1
South,Groceries,Feb,2,2023,216218.69,163047.86,75.4
South,Groceries,Mar,3,2023,220765.73,201830.59,91.4
South,Groceries,Apr,4,2023,241477.7,247055.21,102.3
South,Groceries,May,5,2023,206581.62,223833.65,108.4
South,Groceries,Jun,6,2023,246309.85,200354.16,81.3
South,Groceries,Jul,7,2023,225816.74,169832.91,75.2
South,Groceries,Aug,8,2023,237827.36,245145.74,103.1
South,Groceries,Sep,9,2023,222193.33,223796.14,100.7
South,Groceries,Oct,10,2023,263071.66,294727.12,112
South,Groceries,Nov,11,2023,275405.53,294877.94,107.1
South,Groceries,Dec,12,2023,273531.9,257789.89,94.2
South,Sports,Jan,1,2023,244292.8,215092.62,88
South,Sports,Feb,2,2023,260399.7,273274.51,104.9
South,Sports,Mar,3,2023,256443.23,227951.86,88.9
South,Sports,Apr,4,2023,239450.17,218207.22,91.1
South,Sports,May,5,2023,270109.23,235293.78,87.1
South,Sports,Jun,6,2023,260257.55,195537.03,75.1
South,Sports,Jul,7,2023,269231.54,227712.95,84.6
South,Sports,Aug,8,2023,234024.61,258892.21,110.6
South,Sports,Sep,9,2023,249805.75,205975.54,82.5
South,Sports,Oct,10,2023,348922.84,374086.39,107.2
South,Sports,Nov,11,2023,317022.54,348012.46,109.8
South,Sports,Dec,12,2023,338269.73,412687.13,122
South,Books,Jan,1,2023,634020.8,678563.19,107
South,Books,Feb,2,2023,643368.23,533023.75,82.8
South,Books,Mar,3,2023,693029.2,615194.36,88.8
South,Books,Apr,4,2023,675906.75,566884.39,83.9
South,Books,May,5,2023,674319.71,806752.89,119.6
South,Books,Jun,6,2023,682784.35,666739.24,97.7
South,Books,Jul,7,2023,701096.93,674279.09,96.2
South,Books,Aug,8,2023,655292.61,670810.12,102.4
South,Books,Sep,9,2023,647146.65,563141.24,87
South,Books,Oct,10,2023,861708.76,1006594.69,116.8
South,Books,Nov,11,2023,792871.81,896153.73,113
South,Books,Dec,12,2023,925842.74,854486.53,92.3
South,Toys,Jan,1,2023,490096.64,466789.53,95.2
South,Toys,Feb,2,2023,526479.57,435128.04,82.6
South,Toys,Mar,3,2023,502921.87,424334.29,84.4
