Return_ID,Order_ID,Customer_ID,Return_Date,Category,Return_Reason,Refund_Amount,Status
RET00001,ORD008764,CUST0053,2023-04-30,Furniture,Better price elsewhere,12750.34,Approved
RET00002,ORD006539,CUST0007,2023-12-07,Sports,Defective product,12315.37,Pending
RET00003,ORD010167,CUST0392,2023-07-04,Toys,Wrong item delivered,2803.06,Approved
RET00004,ORD002169,CUST0412,2023-08-26,Groceries,Defective product,2544.51,Approved
RET00005,ORD003149,CUST0329,2023-02-18,Toys,Damaged packaging,12307.87,Rejected
RET00006,ORD003984,CUST0191,2023-02-13,Electronics,Product not as described,170927.33,Approved
RET00007,ORD001323,CUST0102,2023-02-04,Groceries,Product not as described,1505.16,Rejected
RET00008,ORD004713,CUST0372,2023-04-17,Sports,Wrong item delivered,15697.88,Pending
RET00009,ORD002262,CUST0251,2023-12-28,Sports,Defective product,14341.51,Pending
RET00010,ORD008264,CUST0273,2023-06-14,Sports,Defective product,895.61,Pending
RET00011,ORD011710,CUST0385,2023-09-12,Electronics,Size mismatch,93469.65,Approved
RET00012,ORD002109,CUST0393,2023-12-23,Sports,Changed mind,9203.28,Pending
RET00013,ORD004444,CUST0349,2023-01-18,Groceries,Wrong item delivered,2006.44,Approved
RET00014,ORD003449,CUST0034,2023-05-20,Books,Defective product,967.58,Approved
RET00015,ORD005539,CUST0254,2023-12-27,Groceries,Better price elsewhere,1074.11,Rejected
RET00016,ORD006370,CUST0304,2023-02-05,Clothing,Late delivery,4332.38,Rejected
RET00017,ORD008636,CUST0498,2023-11-29,Groceries,Changed mind,3552.39,Pending
RET00018,ORD007043,CUST0313,2023-04-27,Sports,Late delivery,20770.97,Rejected
RET00019,ORD008550,CUST0201,2023-05-22,Clothing,Better price elsewhere,13198.84,Approved
RET00020,ORD010765,CUST0074,2023-06-09,Furniture,Defective product,34503.68,Approved
RET00021,ORD001066,CUST0212,2024-01-03,Sports,Size mismatch,17652.87,Approved
RET00022,ORD003071,CUST0336,2023-04-29,Groceries,Damaged packaging,3239.63,Approved
RET00023,ORD004463,CUST0267,2023-04-26,Clothing,Wrong item delivered,13697.51,Approved
RET00024,ORD006982,CUST0307,2023-05-12,Books,Changed mind,1264.1,Pending
RET00025,ORD003446,CUST0492,2023-09-16,Groceries,Better price elsewhere,2047.64,Rejected
RET00026,ORD009748,CUST0407,2023-11-21,Groceries,Wrong item delivered,1009.27,Rejected
RET00027,ORD007988,CUST0312,2023-02-10,Furniture,Late delivery,20113.7,Rejected
RET00028,ORD010609,CUST0173,2023-12-02,Clothing,Size mismatch,1777.35,Rejected
RET00029,ORD010892,CUST0329,2023-02-11,Groceries,Better price elsewhere,965.6,Approved
RET00030,ORD008698,CUST0404,2024-01-10,Clothing,Changed mind,3869.47,Rejected
RET00031,ORD003289,CUST0018,2024-01-20,Groceries,Better price elsewhere,427.59,Approved
RET00032,ORD004720,CUST0389,2023-09-07,Electronics,Product not as described,39095.05,Pending
RET00033,ORD007569,CUST0206,2023-02-19,Groceries,Wrong item delivered,3266.09,Approved
RET00034,ORD007439,CUST0489,2023-09-30,Groceries,Damaged packaging,1932.01,Rejected
RET00035,ORD008293,CUST0223,2023-06-14,Electronics,Changed mind,28897.25,Rejected
RET00036,ORD010984,CUST0233,2023-06-08,Furniture,Changed mind,40430.99,Approved
RET00037,ORD007935,CUST0421,2023-01-16,Clothing,Better price elsewhere,2728.61,Approved
RET00038,ORD007955,CUST0004,2023-09-13,Clothing,Better price elsewhere,3656.53,Pending
RET00039,ORD011864,CUST0186,2023-08-31,Groceries,Damaged packaging,333.31,Approved
RET00040,ORD011293,CUST0445,2023-11-21,Groceries,Late delivery,1128.85,Pending
RET00041,ORD000069,CUST0226,2023-07-09,Electronics,Defective product,121840.65,Approved
RET00042,ORD001015,CUST0176,2023-05-16,Groceries,Size mismatch,1682.73,Approved
RET00043,ORD001487,CUST0307,2023-04-23,Groceries,Size mismatch,1724.6,Pending
RET00044,ORD009637,CUST0025,2023-06-20,Groceries,Better price elsewhere,3279.35,Approved
RET00045,ORD007493,CUST0443,2023-10-19,Furniture,Better price elsewhere,20968.16,Approved
RET00046,ORD010205,CUST0229,2023-06-03,Toys,Wrong item delivered,445.98,Rejected
RET00047,ORD005115,CUST0203,2023-01-25,Electronics,Better price elsewhere,17238.07,Approved
RET00048,ORD009581,CUST0172,2023-05-21,Electronics,Product not as described,64028.81,Approved
RET00049,ORD010381,CUST0393,2023-05-06,Electronics,Defective product,25265.97,Approved
RET00050,ORD011141,CUST0260,2023-11-01,Groceries,Defective product,427.51,Rejected
RET00051,ORD007666,CUST0298,2023-04-12,Books,Better price elsewhere,1590.96,Approved
RET00052,ORD010992,CUST0099,2023-09-21,Furniture,Product not as described,6917.88,Approved
RET00053,ORD001107,CUST0289,2023-11-26,Electronics,Wrong item delivered,48908.58,Approved
RET00054,ORD011723,CUST0475,2023-04-02,Sports,Better price elsewhere,18389.73,Pending
RET00055,ORD002588,CUST0040,2023-08-14,Clothing,Size mismatch,7871.37,Rejected
RET00056,ORD001320,CUST0239,2023-12-26,Groceries,Product not as described,3348.83,Approved
RET00057,ORD001016,CUST0154,2023-04-11,Toys,Defective product,4337.4,Rejected
RET00058,ORD005282,CUST0402,2023-01-22,Toys,Wrong item delivered,3435.91,Rejected
RET00059,ORD005892,CUST0448,2024-01-26,Toys,Wrong item delivered,4709.81,Pending
RET00060,ORD006035,CUST0433,2023-02-12,Sports,Size mismatch,1313.17,Rejected
RET00061,ORD007707,CUST0119,2023-07-20,Electronics,Wrong item delivered,44285.64,Approved
RET00062,ORD002852,CUST0268,2023-04-29,Electronics,Late delivery,187792.9,Approved
RET00063,ORD000302,CUST0388,2023-09-18,Sports,Changed mind,4797.57,Approved
RET00064,ORD008582,CUST0454,2023-08-07,Electronics,Product not as described,123039.61,Rejected
RET00065,ORD002105,CUST0295,2023-04-18,Electronics,Size mismatch,130588.86,Pending
RET00066,ORD009945,CUST0244,2023-12-20,Groceries,Defective product,1917.28,Rejected
RET00067,ORD009597,CUST0275,2023-03-03,Groceries,Better price elsewhere,557.36,Rejected
RET00068,ORD000110,CUST0144,2023-02-23,Books,Changed mind,688.54,Pending
RET00069,ORD009493,CUST0309,2023-06-26,Books,Defective product,740.67,Approved
RET00070,ORD005755,CUST0002,2023-10-16,Furniture,Defective product,67175.75,Approved
RET00071,ORD001196,CUST0044,2023-07-26,Sports,Product not as described,4197.4,Pending
RET00072,ORD009246,CUST0409,2023-09-15,Electronics,Late delivery,223022.92,Pending
RET00073,ORD009527,CUST0228,2023-07-19,Sports,Defective product,3229.71,Approved
RET00074,ORD000752,CUST0317,2023-04-08,Clothing,Late delivery,6638.52,Approved
RET00075,ORD000334,CUST0207,2023-02-09,Groceries,Size mismatch,1338.48,Rejected
RET00076,ORD009631,CUST0008,2024-01-13,Electronics,Size mismatch,201285.31,Approved
RET00077,ORD007544,CUST0316,2023-03-21,Clothing,Damaged packaging,2634.07,Approved
RET00078,ORD007954,CUST0163,2023-09-29,Toys,Defective product,1437.32,Pending
RET00079,ORD006139,CUST0145,2023-09-07,Books,Defective product,1142.08,Rejected
RET00080,ORD011158,CUST0019,2023-11-15,Sports,Product not as described,9254.17,Approved
RET00081,ORD004779,CUST0399,2023-03-25,Sports,Product not as described,17383.56,Approved
RET00082,ORD003829,CUST0446,2023-12-14,Electronics,Size mismatch,9692.84,Rejected
RET00083,ORD001276,CUST0109,2023-03-31,Groceries,Late delivery,1388.41,Approved
RET00084,ORD007579,CUST0258,2023-08-06,Sports,Late delivery,391.41,Pending
RET00085,ORD003103,CUST0194,2023-03-02,Clothing,Defective product,3644.65,Pending
RET00086,ORD008806,CUST0249,2023-05-21,Toys,Wrong item delivered,9574.37,Approved
RET00087,ORD011061,CUST0385,2023-10-19,Books,Damaged packaging,2131.48,Approved
RET00088,ORD003511,CUST0187,2023-06-04,Toys,Late delivery,7159.27,Rejected
RET00089,ORD000937,CUST0218,2023-03-13,Groceries,Wrong item delivered,132.35,Rejected
RET00090,ORD011788,CUST0230,2023-05-05,Groceries,Wrong item delivered,927.85,Approved
RET00091,ORD007796,CUST0350,2023-09-24,Electronics,Product not as described,16829.26,Approved
RET00092,ORD000764,CUST0057,2023-11-25,Books,Size mismatch,299.15,Approved
RET00093,ORD002312,CUST0352,2023-04-14,Electronics,Damaged packaging,230167.21,Pending
RET00094,ORD005891,CUST0026,2023-05-08,Groceries,Product not as described,4583.29,Pending
RET00095,ORD011240,CUST0396,2023-09-28,Sports,Product not as described,5291.38,Pending
RET00096,ORD010602,CUST0337,2023-03-21,Groceries,Late delivery,448.45,Approved
RET00097,ORD008950,CUST0421,2023-02-10,Groceries,Product not as described,1014.7,Rejected
RET00098,ORD011578,CUST0378,2023-06-12,Sports,Product not as described,1266.08,Pending
RET00099,ORD003730,CUST0279,2023-03-22,Electronics,Changed mind,88478.48,Approved
RET00100,ORD011470,CUST0065,2023-12-07,Sports,Changed mind,3420.73,Rejected
RET00101,ORD004569,CUST0339,2023-12-18,Groceries,Damaged packaging,1190.65,Approved
RET00102,ORD005805,CUST0467,2023-10-07,Clothing,Late delivery,10640.4,Approved
RET00103,ORD005253,CUST0364,2023-09-21,Groceries,Changed mind,1604.8,Approved
RET00104,ORD008484,CUST0336,2023-11-22,Toys,Defective product,2113.68,Pending
RET00105,ORD005788,CUST0196,2023-05-15,Furniture,Damaged packaging,46220.01,Pending
RET00106,ORD000290,CUST0316,2023-09-27,Books,Wrong item delivered,3210.74,Approved
RET00107,ORD005797,CUST0022,2023-03-25,Electronics,Size mismatch,48581.27,Rejected
RET00108,ORD010382,CUST0301,2023-04-15,Books,Defective product,1513.17,Pending
RET00109,ORD009390,CUST0138,2023-11-09,Toys,Defective product,5258.56,Rejected
RET00110,ORD003382,CUST0297,2023-08-10,Clothing,Wrong item delivered,6995.17,Approved
RET00111,ORD007044,CUST0167,2023-10-25,Furniture,Product not as described,58049.87,Pending
RET00112,ORD004500,CUST0103,2023-08-07,Toys,Better price elsewhere,4850.21,Rejected
RET00113,ORD003192,CUST0296,2023-08-23,Clothing,Product not as described,2675.93,Approved
RET00114,ORD002491,CUST0393,2023-03-17,Sports,Changed mind,2707.45,Rejected
RET00115,ORD000789,CUST0161,2023-07-02,Electronics,Better price elsewhere,37430.02,Pending
RET00116,ORD007036,CUST0488,2023-03-20,Electronics,Product not as described,46883.78,Approved
RET00117,ORD007562,CUST0396,2023-03-08,Electronics,Better price elsewhere,55132.48,Pending
RET00118,ORD008415,CUST0164,2023-05-20,Clothing,Product not as described,241.65,Approved
RET00119,ORD004104,CUST0055,2023-08-28,Sports,Damaged packaging,2428.7,Pending
RET00120,ORD006645,CUST0450,2023-08-05,Sports,Late delivery,17510.84,Approved
RET00121,ORD010335,CUST0253,2023-04-13,Groceries,Product not as described,2495.53,Approved
RET00122,ORD011167,CUST0490,2023-03-11,Electronics,Changed mind,88171.17,Approved
RET00123,ORD003972,CUST0132,2023-06-25,Groceries,Wrong item delivered,914.45,Pending
